;r;T0;r2;Tcp2;r3;Tcp3;k;s;logL;logLEpid;logPrior;lp__;t2;t2.2;t2.3;dt.T0;dt.Tcp2;dt.Tcp3;model
1;0.190820898897577;35;0.038562196699337;83;0.038562196699337;139;1;107.658645534478;-160.903938171908;0;-9.1710665558167;-170.075004727725;3.63244898522354;17.9747846307693;17.9747846307693;2020-09-19;2020-11-06;2021-01-01;import
2;0.195931295992256;37;0.0378259976643069;83;0.0378259976643069;139;1;37.3939825618192;-161.719416111451;0;-9.23513199246151;-170.954548103913;3.53770528107639;18.3246238925777;18.3246238925777;2020-09-21;2020-11-06;2021-01-01;import
3;0.189804017587384;36;0.0337040889089041;83;0.0337040889089041;139;1;332.758600912434;-161.878753719958;0;-9.39738481186159;-171.276138531819;3.65190995096206;20.5656703088279;20.5656703088279;2020-09-20;2020-11-06;2021-01-01;import
4;0.193979562703967;35;0.0268296260958445;83;0.0268296260958445;139;1;213.488751641922;-161.105227163517;0;-9.85645638313736;-170.961683546654;3.57330004716919;25.835141275685;25.835141275685;2020-09-19;2020-11-06;2021-01-01;import
5;0.19785316573329;35;0.0343775217266927;83;0.0343775217266927;139;1;32.0522866473959;-161.60979680314;0;-9.4126167690825;-171.022413572222;3.50334136929768;20.1628024867699;20.1628024867699;2020-09-19;2020-11-06;2021-01-01;import
6;0.182676572577024;35;0.0584848473920793;83;0.0584848473920793;139;1;19.4225604581979;-161.099238707849;0;-8.52322883212792;-169.622467539977;3.7943955854968;11.8517395781701;11.8517395781701;2020-09-19;2020-11-06;2021-01-01;import
7;0.188390182530746;35;0.0372915370510073;83;0.0372915370510073;139;1;50.119654781252;-161.177219898714;0;-9.1964701133903;-170.373690012104;3.67931689034179;18.5872515689514;18.5872515689514;2020-09-19;2020-11-06;2021-01-01;import
8;0.167104415449041;35;0.0702424148529267;83;0.0702424148529267;139;1;67.3196732941679;-161.106911556383;0;-8.26105421642482;-169.367965772808;4.14798842207327;9.86792925629414;9.86792925629414;2020-09-19;2020-11-06;2021-01-01;import
9;0.177222737833744;36;0.0536180226851238;83;0.0536180226851238;139;1;68.4177238182372;-161.186444371509;0;-8.60130894083459;-169.787753312344;3.91116393433781;12.9275035864435;12.9275035864435;2020-09-20;2020-11-06;2021-01-01;import
10;0.175422079646388;33;0.0630254032891424;83;0.0630254032891424;139;1;26.403848052913;-161.417937465272;0;-8.40090802826616;-169.818845493539;3.95131092937204;10.9979015505856;10.9979015505856;2020-09-17;2020-11-06;2021-01-01;import
11;0.174825288822647;36;0.0605074155203232;83;0.0605074155203232;139;1;30.5366102757345;-161.752870861072;0;-8.44124859489728;-170.19411945597;3.96479928749389;11.4555740746708;11.4555740746708;2020-09-20;2020-11-06;2021-01-01;import
12;0.166240914424817;33;0.0627433881776401;83;0.0627433881776401;139;1;43.9935242204579;-160.675425504627;0;-8.35587121992649;-169.031296724554;4.16953421459568;11.0473342401831;11.0473342401831;2020-09-17;2020-11-06;2021-01-01;import
13;0.170735332334711;34;0.0668438888708779;83;0.0668438888708779;139;1;81.6061228293998;-162.281853431828;0;-8.32747833598019;-170.609331767808;4.05977585940498;10.3696417468902;10.3696417468902;2020-09-18;2020-11-06;2021-01-01;import
14;0.181500869426987;35;0.0583316906043475;83;0.0583316906043475;139;1;34.4599346198825;-160.364699649997;0;-8.52448481342339;-168.88918446342;3.81897443658683;11.8828577292818;11.8828577292818;2020-09-19;2020-11-06;2021-01-01;import
15;0.190808353416183;37;0.0570846530521713;83;0.0570846530521713;139;1;46.1046177325221;-160.558959252593;0;-8.61218753162664;-169.171146784219;3.63268781554905;12.1424436078548;12.1424436078548;2020-09-21;2020-11-06;2021-01-01;import
16;0.187482552877445;37;0.062293102907953;83;0.062293102907953;139;1;30.5616032319311;-160.455538320816;0;-8.4866597810935;-168.94219810191;3.69712898571978;11.1271898204231;11.1271898204231;2020-09-21;2020-11-06;2021-01-01;import
17;0.184054714224283;34;0.0512259081547553;83;0.0512259081547553;139;1;35.3229096035666;-160.705739526174;0;-8.69864930632538;-169.404388832499;3.76598438937727;13.5311838389653;13.5311838389653;2020-09-18;2020-11-06;2021-01-01;import
18;0.183402740938348;36;0.0700384156739883;83;0.0700384156739883;139;1;41.5785169018836;-163.097971051908;0;-8.34564840211516;-171.443619454023;3.77937198219383;9.8966713322925;9.8966713322925;2020-09-20;2020-11-06;2021-01-01;import
19;0.170749324234415;36;0.067344008732561;83;0.067344008732561;139;1;25.6325289157504;-161.933501711348;0;-8.3090132570323;-170.242514968381;4.05944318472587;10.2926332068024;10.2926332068024;2020-09-20;2020-11-06;2021-01-01;import
20;0.172684319957045;32;0.0443091008690063;83;0.0443091008690063;139;1;108.103628078209;-161.005745445481;0;-8.81596731316401;-169.821712758645;4.01395552724397;15.6434494712303;15.6434494712303;2020-09-16;2020-11-06;2021-01-01;import
21;0.179255495134231;34;0.0462633688801811;83;0.0462633688801811;139;1;38.2728934232903;-161.123854041766;0;-8.79834996979202;-169.922204011558;3.8668113356352;14.9826352325346;14.9826352325346;2020-09-18;2020-11-06;2021-01-01;import
22;0.180430747696252;35;0.0560336083931138;83;0.0560336083931138;139;1;25.5255318830817;-160.814756284346;0;-8.56087644967276;-169.375632734019;3.84162449809736;12.3702042477266;12.3702042477266;2020-09-19;2020-11-06;2021-01-01;import
23;0.169467399237229;30;0.0346326342253842;83;0.0346326342253842;139;1;94.8308607809284;-161.966825773372;0;-9.14981778075918;-171.116643554131;4.09015057574373;20.0142783263047;20.0142783263047;2020-09-14;2020-11-06;2021-01-01;import
