;day;Australia;Austria;Bahrain;Bangladesh;Belarus;Belgium;Bosnia and Herzegovina;Brazil;Burkina Faso;Canada;Chile;China;Chinese Taipei;Colombia;Cote d'Ivoire;Croatia;Czech Republic;Denmark;Ecuador;El Salvador;Finland;France;Gambia;Georgia;Germany;Ghana;Gibraltar;Hong Kong;Hungary;India;Indonesia;Iran;Ireland;Israel;Italy;Japan;Jordan;Latvia;Lithuania;Luxembourg;Macedonia;Madagascar;Malaysia;Malta;Mexico;Netherlands;New Zealand;Nigeria;Norway;Pakistan;Papua New Guinea;Peru;Poland;Portugal;Romania;Russian Federation;Rwanda;Singapore;Slovakia;South Africa;South Korea;Spain;Sri Lanka;Sweden;Switzerland;Thailand;Trinidad and Tobago;Tunisia;Turkey;Uganda;United Arab Emirates;United Kingdom;United States of America
69;2020-10-22;0.00209412730624627;0.0159143566751706;0.00214825026139802;0.00668554405664157;0.00194532820076016;0.0836654349775377;0.000116340938015835;0.0105329098156192;0.000159630606365712;0.0113067123169234;0.000611466210121659;0.0212254641143368;0.00153678424024376;0.000476186081104414;0.000240798629627212;0.00794906065030797;0.0152027793525052;0.0321587934035558;0.000619583017899598;3.51728335646134E-05;0.00890684269641205;0.595296744762798;0.000533003058941011;7.03456670453532E-05;0.180141715856606;0.0123240222370881;0.0211469897689554;0.00604971449028401;0.0310197330366469;0.0479162243945141;0.00174781964517981;0.00353892820174954;0.188604816587523;0.0170480018553547;0.289737567839218;0.00470774670372689;0.00176946446614465;0.0160766904755565;0.0489930515728478;0.00518664079529751;0.00584139597023662;0.000173158835695081;0.00208602078003952;0.0173456185755706;0.0027164250176669;0.106815339849323;0.0015097284849497;0.0236172129257924;0.0143424006857651;0.0395937532034186;3.24671768454856E-05;0.000162336073614197;0.187668710077764;0.165477351858809;0.134287174772416;0.0209738336889301;0.000208331750365543;0.00777319659110132;0.0216394094350018;0.00741605423709075;0.00214012958486271;0.361119486652101;0.003276485481865;0.0549832587934794;0.0267042947075201;0.00461846720235657;6.49346783659863E-05;0.00135821233269872;0.147038673603862;0.00162336225173937;0.0444828381271775;3019.45247930258;0.05255902378506
70;2020-10-23;0.00249882033743746;0.0189898283636025;0.00256340262937931;0.00797753479730685;0.0023212655966764;0.0998338973179104;0.000138823987024756;0.0125684093708908;0.000190479444336707;0.0134917502879647;0.000729632910544799;0.0253273147445489;0.00183376994432012;0.000568209707365526;0.000287333301631083;0.00948522774010256;0.0181407377279797;0.0383735252124182;0.000739318302779592;4.19700328506307E-05;0.0106281025063589;0.710338673387538;0.000636006645644467;8.39400656011791E-05;0.214954354427595;0.0147056567732113;0.0252336751221529;0.00721883027785417;0.03701433983629;0.0571761017838273;0.00208558823645577;0.00422283102697997;0.225052961212922;0.0203425520605966;0.345729758108202;0.00561752533940431;0.00211141594934877;0.019183533397985;0.0584610273206366;0.00618896638404659;0.00697025391241229;0.000206622022907223;0.00248914721370186;0.0206976836282997;0.00324137795205832;0.127457553688186;0.00180148562646998;0.0281812723593895;0.0171140896803969;0.0472453013936043;3.87415041858668E-05;0.000193707746915361;0.22393595081073;0.197456081574755;0.160238359137689;0.0250270563874525;0.000248592152537521;0.00927537770545609;0.025821255577458;0.00884921709196331;0.00255371262074438;0.430906332580491;0.00390967088437363;0.0656088504657394;0.031864937013637;0.00551099244951027;7.74833957906496E-05;0.00162068876585615;0.175454102955071;0.00193707927764233;0.0530792088177172;3602.96589452902;0.0627161286509302
71;2020-10-24;0.00297963151577209;0.0226437612274752;0.003056640426556;0.00951253427231199;0.00276791253245018;0.119043463163044;0.000165535841327549;0.0149867631952427;0.000227130597165878;0.0160877689999003;0.000870025420648401;0.0302006767321766;0.00218661527478009;0.000677541928992859;0.000342620615113451;0.011310330352789;0.0216312925918776;0.045757177249266;0.000881574430200243;5.00457078590827E-05;0.0126731116704768;0.847018677728456;0.00075838403314187;0.000100091415598826;0.256314853576758;0.0175352496236375;0.0300890194169884;0.00860784342141303;0.0441364638583059;0.0681776565812622;0.0024868872504215;0.00503536817963995;0.26835658646653;0.0242567696135959;0.412253441260158;0.00669842296829647;0.00251768460954465;0.0228747380674515;0.0697098214062147;0.00737981799318569;0.00831143716865047;0.000246379254275761;0.00296809713536598;0.024680233916139;0.00386506855086116;0.151982332704237;0.00214811896134359;0.0336037793588254;0.0204071017877799;0.0563360185986393;4.61959609945404E-05;0.000230980074441891;0.267024646211381;0.235449645909459;0.191070665533279;0.0298426440836206;0.000296425077536396;0.0110601019680386;0.0307896593215259;0.0105519415470112;0.00304508591233816;0.513819288912658;0.00466195124509138;0.078232994838585;0.0379962373250461;0.00657139152412307;9.23923839533105E-05;0.00193253402481707;0.209214150735051;0.00230980290088846;0.0632924588678944;4296.23153323617;0.0747836691881439
72;2020-10-25;0.00355061161303496;0.0269829343499312;0.00364237756848589;0.0113353998566202;0.00329832139630729;0.141855494723171;0.000197257102926972;0.01785864297688;0.000270655123529179;0.0191706320518188;0.00103674643855731;0.0359879646054136;0.0026056314503245;0.000807377767574989;0.000408276234308716;0.0134777035634449;0.0257764486229688;0.0545255223879065;0.00105050855887882;5.9635854489534E-05;0.0151016316052168;1.00933096514818;0.000903711462628984;0.000119271708836859;0.305431893469274;0.0208954901374846;0.0358549106496177;0.010257345129247;0.0525942353287907;0.0812423878340582;0.00296344387046366;0.00600028447809714;0.319781156595661;0.02890503991143;0.491252642584783;0.00798202672188165;0.00300014285836692;0.0272581727631446;0.0830681579642785;0.00879399594546834;0.00990413921178233;0.000293592357582421;0.00353686692520953;0.0294096517274739;0.00460572295910482;0.181106365877586;0.00255975817477913;0.0400431961474917;0.0243176688837318;0.0671315633526082;5.50483892770959E-05;0.000275242267492444;0.318193979619995;0.280568332904906;0.227685108162438;0.035561322964298;0.000353228349587648;0.0131795244751574;0.0366898126059296;0.0125739864136106;0.0036286088886516;0.612281325579251;0.00555531049480628;0.0932246079845903;0.045277370971485;0.00783065252728235;0.000110097329043589;0.0023028611809144;0.249305388696237;0.00275242524463341;0.0754210506515103;5119.5087357111;0.0891142958044542
73;2020-10-26;0.00422535705929077;0.0321106740363546;0.00433456188649396;0.013489538430004;0.00392512251819742;0.168813202161358;0.000234743132503668;0.0212524351845999;0.000322089448656904;0.0228137499392617;0.00123376599872839;0.0428269878171813;0.00310079626904838;0.000960808931400239;0.000485863579796723;0.0160389578194819;0.0306749121060328;0.0648873563324846;0.00125014342284254;7.09688375459353E-05;0.0179714912990353;1.20114058746746;0.00107544953499361;0.000141937674922637;0.363475070735718;0.0248663938448319;0.0426686487667132;0.0122066140639919;0.0625890544346387;0.0966813986886197;0.0035266060731358;0.00714055693509357;0.380551216159259;0.0343980496178362;0.584608525928464;0.00949890233922864;0.00357027920455816;0.0324382177665643;0.0988541316003376;0.0104651752704086;0.0117862861657606;0.000349385592079537;0.00420900038048148;0.0349985560464456;0.00548097796642888;0.215523167539367;0.00304620540139425;0.0476528609598458;0.0289389111177787;0.0798890039315531;6.5509586962609E-05;0.000327548316942021;0.378662417786084;0.333886528647907;0.270953566291979;0.0423192687347964;0.000420354593274153;0.0156841138509095;0.0436622124845716;0.0149635015165069;0.00431817665632084;0.728637064051287;0.00661102169823571;0.110940676812185;0.0538817195207002;0.00931876153774067;0.000131019829027639;0.00274048862782434;0.296682487090288;0.00327548622746742;0.0897537955487861;6092.40174203324;0.106049255705335
74;2020-10-27;0.00506621344899307;0.0385007767098666;0.00519715030391643;0.0161739895719645;0.00470623149987119;0.202407442295779;0.000281457590035826;0.0254817217681826;0.000386186036746032;0.0273537419778798;0.00147928845017356;0.0513496631443698;0.0037178623109019;0.00115201225881478;0.0005825516205618;0.0192307496556352;0.0367792946436458;0.0778000989522095;0.00149892502174436;8.50918098019795E-05;0.0215478620244503;1.44017050227242;0.00128946662292547;0.000170183619401048;0.435807498844628;0.02981486704127;0.0511598142355733;0.01463576011918;0.07504442935522;0.115921233503036;0.00422840930750126;0.00856154523043879;0.456281838974412;0.0412433456268105;0.700947052496419;0.011389207138331;0.00428077349889784;0.0388935024435351;0.118526345578526;0.0125477707462462;0.0141317859411105;0.000418914179474069;0.00504660175109353;0.0419633543035064;0.00657170598780533;0.25841280503305;0.00365240772705947;0.057135896846145;0.0346978252126021;0.0957871111163869;7.85461549996578E-05;0.000392731233171866;0.454017165105118;0.400330764510008;0.32487398871599;0.050740906722748;0.000504006185491216;0.0188052908693954;0.0523510995634671;0.0179412749178835;0.00517750437286183;0.873637621988581;0.00792663118624312;0.133018142850305;0.0646043134959258;0.0111732178767362;0.00015709309546872;0.00328585256778907;0.355723027684155;0.00392731599832474;0.107615020393983;7304.80459025122;0.127153316979146
75;2020-10-28;0.00607091017643655;0.0461359868631466;0.00622781353098883;0.0193815043275632;0.0056395390744764;0.242547498953912;0.000337274330185085;0.0305350821778603;0.000462771804639452;0.0327783486047426;0.00177265079658826;0.0615329763892407;0.00445516328222023;0.00138047143410595;0.000698079265150416;0.0230444601200338;0.0440731122725684;0.0932288813355496;0.00179618155844418;0.000101966634303755;0.0258210863323744;1.72577524537327;0.00154518480559666;0.000203933268364359;0.522233854996589;0.0357275471221853;0.0613054779460735;0.0175382237527071;0.0899267262314084;0.138909938008737;0.00506695845990273;0.0102594121998202;0.546768525930052;0.0494224432501673;0.839954067665564;0.0136478366365279;0.0051297071588336;0.0466065952725792;0.142031678055634;0.015036158638385;0.0169343048698753;0.000501990368315051;0.00604740922102791;0.0502852391126954;0.00787496167691987;0.309659461369213;0.00437672819393504;0.0684666962999816;0.0415788600903245;0.11478295446938;9.41228901048693E-05;0.000470614999559767;0.544054737461045;0.479721617865801;0.38930077147607;0.0608034955664913;0.000603957237746021;0.0225346272633959;0.0627330108151412;0.0214992655903342;0.00620427155354043;1.04689144728051;0.00949858635407222;0.159397389235764;0.0774161981513168;0.0133890138649611;0.000188246721448052;0.00393748032784241;0.42626758041349;0.00470615438933994;0.128956493646573;8753.44336955458;0.152369491295276
76;2020-10-29;0.00729647687668493;0.0554497021940095;0.00748505514009073;0.0232941509677287;0.00677802261212689;0.291511843559142;0.000405361680501647;0.0366993604852194;0.000556193992927019;0.0393954869532934;0.00213050517498107;0.073954963313463;0.00535455062352056;0.0016591544933367;0.000839004213245166;0.0276965669915759;0.0529703842149566;0.112049487990172;0.00215878621600832;0.000122551177297675;0.0310337254018873;2.07416660867358;0.00185711942304814;0.000245102354303113;0.627659961432879;0.042940055751362;0.0736815385580624;0.0210787576081165;0.108080709395142;0.166952420834105;0.00608985212485951;0.0123305339247017;0.657147575965197;0.059399612888983;1.00952003144224;0.0164029974980869;0.00616526823504481;0.0560153148085276;0.170704363031441;0.0180715873947487;0.0203529224308676;0.000603329815180902;0.0072682316592899;0.0604365859090535;0.00946472178149617;0.372172052272628;0.00526028142971582;0.0822884298823634;0.0499726041715289;0.137954795703304;0.000113123975031376;0.000565620535028981;0.653885940685338;0.576565554468188;0.467890974268714;0.0730782183443421;0.000725881275072165;0.027083811483535;0.075397255026787;0.0258394358813687;0.00745676061932012;1.25823295280002;0.0114161161472436;0.191575782042845;0.0930446149383652;0.0160919248066763;0.000226249081313815;0.0047323602770495;0.512320468162995;0.00565621063102003;0.154989622090387;10520.54721304;0.183129125227941
77;2020-10-30;0.0087277391975187;0.0663266049503706;0.00895330859616723;0.0278634850640866;0.0081075859806473;0.348694224153837;0.000484876617561991;0.0438982336878513;0.000665295894927729;0.047123226935218;0.00254842081191477;0.0884618211049858;0.00640488857181595;0.00198461092263655;0.00100358160281735;0.0331294702161663;0.0633609489119012;0.134028891603648;0.00258224940542527;0.000146590571296231;0.0371212389503443;2.48103098504297;0.00222140825729234;0.0002931811422429;0.750780484978348;0.0513630912642695;0.0881347618960536;0.0252135245709075;0.129281605331721;0.199701474021046;0.00728442534602772;0.0147492668146229;0.786052331041123;0.0710513222326765;1.207545463106;0.0196205767030262;0.00737463492965456;0.0670031670048759;0.204189389700892;0.0216164738588458;0.0243453110159992;0.000721677785865674;0.0086939534547325;0.0722917058077904;0.0113213026892376;0.445176578194898;0.00629212772136809;0.0984299638201381;0.0597751303267472;0.165015732701458;0.000135314147875302;0.000676571528687803;0.782150899903721;0.689663501264652;0.559671532618577;0.0874130955950517;0.000868268695188486;0.0323965178123681;0.0901870298781209;0.0309080479791852;0.00891946387875386;1.50504541402065;0.0136554786735641;0.229154904550359;0.111296060638591;0.0192484846142022;0.000270629648905615;0.00566065061053833;0.612816227234976;0.00676572160346575;0.185392076585524;12584.2367271797;0.219051368416778
78;2020-10-31;0.0104668416854299;0.079542944379565;0.0107373583829732;0.0334156051607327;0.00972311580238009;0.418175561648272;0.000581493864348165;0.0526454620013593;0.000797863759283123;0.056513072271653;0.00305622298999837;0.106088857120518;0.00768113633746937;0.00238006749105397;0.00120355678800365;0.0397308984637581;0.0759863472419096;0.16073569087489;0.00309679232011949;0.000175800429826156;0.044518073061891;2.97540496449227;0.00266404942008303;0.000351600859233095;0.900382137794947;0.0615977783674195;0.105696627599885;0.0302376095392967;0.155042453173905;0.239494291204249;0.00873593093706117;0.0176882279856292;0.942682305150645;0.0852091159599864;1.4481627949977;0.0235302024361355;0.00884411581850206;0.0803543192103906;0.244876475737428;0.0259238050722342;0.0291963944407803;0.000865480390923586;0.0104263237445331;0.0866966602387632;0.0135772025537577;0.533883135205521;0.00754590658973725;0.118043267001021;0.0716860130323185;0.19789701670765;0.00016227704925146;0.00081138619284795;0.938003468955194;0.827086891644132;0.671192527089488;0.104831160982316;0.00104128122613201;0.0388518968575126;0.108157833598167;0.0370668322783725;0.010696769716076;1.80494303523816;0.016376489968398;0.274816656763794;0.133473081694206;0.0230839667159813;0.00032455572128964;0.00678860039652437;0.734926913782495;0.00811386950372002;0.222333581634228;15091.790734628;0.262699874767916
